Provincias	Residencia	Meses	Total
Albacete	Total	Total	1,93
Albacete	Total	Enero	1,62
Albacete	Total	Febrero	1,72
Albacete	Total	Marzo	1,74
Albacete	Total	Abril	1,82
Albacete	Total	Mayo	1,93
Albacete	Total	Junio	1,93
Albacete	Total	Julio	1,97
Albacete	Total	Agosto	2,16
Albacete	Total	Septiembre	2,09
Albacete	Total	Octubre	2,03
Albacete	Total	Noviembre	2,11
Albacete	Total	Diciembre	1,72
Albacete	Residentes en España	Total	1,89
Albacete	Residentes en España	Enero	1,58
Albacete	Residentes en España	Febrero	1,57
Albacete	Residentes en España	Marzo	1,69
Albacete	Residentes en España	Abril	1,8
Albacete	Residentes en España	Mayo	1,94
Albacete	Residentes en España	Junio	1,93
Albacete	Residentes en España	Julio	1,94
Albacete	Residentes en España	Agosto	2,22
Albacete	Residentes en España	Septiembre	2,06
Albacete	Residentes en España	Octubre	2,04
Albacete	Residentes en España	Noviembre	1,96
Albacete	Residentes en España	Diciembre	1,62
Albacete	No residentes en España	Total	2,22
Albacete	No residentes en España	Enero	1,95
Albacete	No residentes en España	Febrero	2,86
Albacete	No residentes en España	Marzo	2,22
Albacete	No residentes en España	Abril	1,99
Albacete	No residentes en España	Mayo	1,83
Albacete	No residentes en España	Junio	1,95
Albacete	No residentes en España	Julio	2,2
Albacete	No residentes en España	Agosto	1,72
Albacete	No residentes en España	Septiembre	2,32
Albacete	No residentes en España	Octubre	1,97
Albacete	No residentes en España	Noviembre	3,14
Albacete	No residentes en España	Diciembre	2,71
Alicante/Alacant	Total	Total	3,75
Alicante/Alacant	Total	Enero	2,95
Alicante/Alacant	Total	Febrero	2,81
Alicante/Alacant	Total	Marzo	3,66
Alicante/Alacant	Total	Abril	3,55
Alicante/Alacant	Total	Mayo	3,69
Alicante/Alacant	Total	Junio	3,67
Alicante/Alacant	Total	Julio	3,86
Alicante/Alacant	Total	Agosto	4,17
Alicante/Alacant	Total	Septiembre	4
Alicante/Alacant	Total	Octubre	3,96
Alicante/Alacant	Total	Noviembre	3,9
Alicante/Alacant	Total	Diciembre	3,52
Alicante/Alacant	Residentes en España	Total	3,24
Alicante/Alacant	Residentes en España	Enero	2,27
Alicante/Alacant	Residentes en España	Febrero	2,15
Alicante/Alacant	Residentes en España	Marzo	3,09
Alicante/Alacant	Residentes en España	Abril	3,16
Alicante/Alacant	Residentes en España	Mayo	3,11
Alicante/Alacant	Residentes en España	Junio	3,13
