Edad	Duración	Destino	Tipo de dato	Periodo	Total
Total	Total	Total	Porcentaje sobre personas de la categoría	2023	""
Total	Total	Total	Porcentaje sobre personas de la categoría	2022	65,37
Total	Total	Total	Porcentaje sobre personas de la categoría	2021	54,12
Total	Total	Total	Porcentaje sobre personas de la categoría	2020	63,95
Total	Total	Total	Porcentaje sobre personas de la categoría	2019	69,66
Total	Total	Total	Porcentaje sobre personas de la categoría	2018	67,37
Total	Total	Total	Porcentaje sobre personas de la categoría	2017	65,64
Total	Total	Total	Porcentaje sobre personas de la categoría	2016	65,73
Total	Total	Total	Porcentaje sobre personas de la categoría	2015	62,8
Total	Total	Total	Porcentaje sobre el total de viajeros 	2023	""
Total	Total	Total	Porcentaje sobre el total de viajeros 	2022	100
Total	Total	Total	Porcentaje sobre el total de viajeros 	2021	100
Total	Total	Total	Porcentaje sobre el total de viajeros 	2020	100
Total	Total	Total	Porcentaje sobre el total de viajeros 	2019	100
Total	Total	Total	Porcentaje sobre el total de viajeros 	2018	100
Total	Total	Total	Porcentaje sobre el total de viajeros 	2017	100
Total	Total	Total	Porcentaje sobre el total de viajeros 	2016	100
Total	Total	Total	Porcentaje sobre el total de viajeros 	2015	100
Total	Total	Solo España	Porcentaje sobre personas de la categoría	2023	""
Total	Total	Solo España	Porcentaje sobre personas de la categoría	2022	47,59
Total	Total	Solo España	Porcentaje sobre personas de la categoría	2021	46,69
Total	Total	Solo España	Porcentaje sobre personas de la categoría	2020	44,6
Total	Total	Solo España	Porcentaje sobre personas de la categoría	2019	43,61
Total	Total	Solo España	Porcentaje sobre personas de la categoría	2018	43,09
Total	Total	Solo España	Porcentaje sobre personas de la categoría	2017	43,46
Total	Total	Solo España	Porcentaje sobre personas de la categoría	2016	45,13
Total	Total	Solo España	Porcentaje sobre personas de la categoría	2015	43,48
Total	Total	Solo España	Porcentaje sobre el total de viajeros 	2023	""
Total	Total	Solo España	Porcentaje sobre el total de viajeros 	2022	72,8
Total	Total	Solo España	Porcentaje sobre el total de viajeros 	2021	86,27
Total	Total	Solo España	Porcentaje sobre el total de viajeros 	2020	69,74
Total	Total	Solo España	Porcentaje sobre el total de viajeros 	2019	62,61
Total	Total	Solo España	Porcentaje sobre el total de viajeros 	2018	63,95
Total	Total	Solo España	Porcentaje sobre el total de viajeros 	2017	66,21
Total	Total	Solo España	Porcentaje sobre el total de viajeros 	2016	68,67
Total	Total	Solo España	Porcentaje sobre el total de viajeros 	2015	69,23
Total	Total	Solo extranjero	Porcentaje sobre personas de la categoría	2023	""
Total	Total	Solo extranjero	Porcentaje sobre personas de la categoría	2022	3,98
Total	Total	Solo extranjero	Porcentaje sobre personas de la categoría	2021	2,27
Total	Total	Solo extranjero	Porcentaje sobre personas de la categoría	2020	4,12
Total	Total	Solo extranjero	Porcentaje sobre personas de la categoría	2019	5,73
Total	Total	Solo extranjero	Porcentaje sobre personas de la categoría	2018	5,68
Total	Total	Solo extranjero	Porcentaje sobre personas de la categoría	2017	5,38
Total	Total	Solo extranjero	Porcentaje sobre personas de la categoría	2016	5,28
