Nivel de formación	Concepto turístico	Tipo de dato	Periodo	Total
Total	Viajes	Valor absoluto	2023T4	35.435.587
Total	Viajes	Valor absoluto	2023T3	50.207.602
Total	Viajes	Valor absoluto	2023T2	39.736.721
Total	Viajes	Valor absoluto	2023T1	29.032.106
Total	Viajes	Valor absoluto	2022T4	31.927.200
Total	Viajes	Valor absoluto	2022T3	48.207.318
Total	Viajes	Valor absoluto	2022T2	37.846.310
Total	Viajes	Valor absoluto	2022T1	27.819.742
Total	Viajes	Valor absoluto	2021T4	31.356.804
Total	Viajes	Valor absoluto	2021T3	46.551.593
Total	Viajes	Valor absoluto	2021T2	28.739.261
Total	Viajes	Valor absoluto	2021T1	13.357.662
Total	Viajes	Valor absoluto	2020T4	14.876.789
Total	Viajes	Valor absoluto	2020T3	37.618.340
Total	Viajes	Valor absoluto	2020T2	7.484.707
Total	Viajes	Valor absoluto	2020T1	24.540.137
Total	Viajes	Valor absoluto	2019T4	34.312.888
Total	Viajes	Valor absoluto	2019T3	49.507.888
Total	Viajes	Valor absoluto	2019T2	41.219.879
Total	Viajes	Valor absoluto	2019T1	35.287.123
Total	Viajes	Valor absoluto	2018T4	33.884.636
Total	Viajes	Valor absoluto	2018T3	52.130.037
Total	Viajes	Valor absoluto	2018T2	41.771.833
Total	Viajes	Valor absoluto	2018T1	34.119.089
Total	Viajes	Valor absoluto	2017T4	33.500.883
Total	Viajes	Valor absoluto	2017T3	51.318.409
Total	Viajes	Valor absoluto	2017T2	40.890.307
Total	Viajes	Valor absoluto	2017T1	33.121.151
Total	Viajes	Valor absoluto	2016T4	32.210.800
Total	Viajes	Valor absoluto	2016T3	49.580.233
Total	Viajes	Valor absoluto	2016T2	35.656.905
Total	Viajes	Valor absoluto	2016T1	33.702.734
Total	Viajes	Valor absoluto	2015T4	31.858.834
Total	Viajes	Valor absoluto	2015T3	46.987.273
Total	Viajes	Valor absoluto	2015T2	38.242.858
Total	Viajes	Valor absoluto	2015T1	27.590.722
Total	Viajes	Distribución porcentual	2023T4	100
Total	Viajes	Distribución porcentual	2023T3	100
Total	Viajes	Distribución porcentual	2023T2	100
Total	Viajes	Distribución porcentual	2023T1	100
Total	Viajes	Distribución porcentual	2022T4	100
Total	Viajes	Distribución porcentual	2022T3	100
Total	Viajes	Distribución porcentual	2022T2	100
Total	Viajes	Distribución porcentual	2022T1	100
Total	Viajes	Distribución porcentual	2021T4	100
Total	Viajes	Distribución porcentual	2021T3	100
Total	Viajes	Distribución porcentual	2021T2	100
Total	Viajes	Distribución porcentual	2021T1	100
Total	Viajes	Distribución porcentual	2020T4	100
Total	Viajes	Distribución porcentual	2020T3	100
Total	Viajes	Distribución porcentual	2020T2	100
Total	Viajes	Distribución porcentual	2020T1	100
Total	Viajes	Distribución porcentual	2019T4	100
Total	Viajes	Distribución porcentual	2019T3	100
Total	Viajes	Distribución porcentual	2019T2	100
Total	Viajes	Distribución porcentual	2019T1	100
Total	Viajes	Distribución porcentual	2018T4	100
Total	Viajes	Distribución porcentual	2018T3	100
Total	Viajes	Distribución porcentual	2018T2	100
Total	Viajes	Distribución porcentual	2018T1	100
Total	Viajes	Distribución porcentual	2017T4	100
Total	Viajes	Distribución porcentual	2017T3	100
Total	Viajes	Distribución porcentual	2017T2	100
Total	Viajes	Distribución porcentual	2017T1	100
Total	Viajes	Distribución porcentual	2016T4	100
Total	Viajes	Distribución porcentual	2016T3	100
Total	Viajes	Distribución porcentual	2016T2	100
Total	Viajes	Distribución porcentual	2016T1	100
Total	Viajes	Distribución porcentual	2015T4	100
Total	Viajes	Distribución porcentual	2015T3	100
Total	Viajes	Distribución porcentual	2015T2	100
Total	Viajes	Distribución porcentual	2015T1	100
Total	Viajes	Acumulado en lo que va de año	2023T4	154.412.015
Total	Viajes	Acumulado en lo que va de año	2023T3	118.976.428
Total	Viajes	Acumulado en lo que va de año	2023T2	68.768.826
Total	Viajes	Acumulado en lo que va de año	2023T1	29.032.106
Total	Viajes	Acumulado en lo que va de año	2022T4	145.800.571
Total	Viajes	Acumulado en lo que va de año	2022T3	113.873.370
Total	Viajes	Acumulado en lo que va de año	2022T2	65.666.053
Total	Viajes	Acumulado en lo que va de año	2022T1	27.819.742
Total	Viajes	Acumulado en lo que va de año	2021T4	120.005.320
Total	Viajes	Acumulado en lo que va de año	2021T3	88.648.516
Total	Viajes	Acumulado en lo que va de año	2021T2	42.096.923
Total	Viajes	Acumulado en lo que va de año	2021T1	13.357.662
Total	Viajes	Acumulado en lo que va de año	2020T4	84.519.973
Total	Viajes	Acumulado en lo que va de año	2020T3	69.643.184
Total	Viajes	Acumulado en lo que va de año	2020T2	32.024.844
Total	Viajes	Acumulado en lo que va de año	2020T1	24.540.137
Total	Viajes	Acumulado en lo que va de año	2019T4	160.327.778
Total	Viajes	Acumulado en lo que va de año	2019T3	126.014.890
Total	Viajes	Acumulado en lo que va de año	2019T2	76.507.002
Total	Viajes	Acumulado en lo que va de año	2019T1	35.287.123
Total	Viajes	Acumulado en lo que va de año	2018T4	161.905.595
Total	Viajes	Acumulado en lo que va de año	2018T3	128.020.959
Total	Viajes	Acumulado en lo que va de año	2018T2	75.890.922
Total	Viajes	Acumulado en lo que va de año	2018T1	34.119.089
Total	Viajes	Acumulado en lo que va de año	2017T4	158.830.749
Total	Viajes	Acumulado en lo que va de año	2017T3	125.329.866
Total	Viajes	Acumulado en lo que va de año	2017T2	74.011.458
Total	Viajes	Acumulado en lo que va de año	2017T1	33.121.151
Total	Viajes	Acumulado en lo que va de año	2016T4	151.150.673
Total	Viajes	Acumulado en lo que va de año	2016T3	118.939.873
Total	Viajes	Acumulado en lo que va de año	2016T2	69.359.639
Total	Viajes	Acumulado en lo que va de año	2016T1	33.702.734
Total	Viajes	Acumulado en lo que va de año	2015T4	144.679.687
Total	Viajes	Acumulado en lo que va de año	2015T3	112.820.853
