Comunidad autónoma de residencia	Concepto turístico	Tipo de dato	Periodo	Total
Total	Viajes	Valor absoluto	2023T4	41.653.532
Total	Viajes	Valor absoluto	2023T3	60.551.603
Total	Viajes	Valor absoluto	2023T2	48.435.852
Total	Viajes	Valor absoluto	2023T1	35.254.176
Total	Viajes	Valor absoluto	2022T4	37.880.564
Total	Viajes	Valor absoluto	2022T3	56.768.382
Total	Viajes	Valor absoluto	2022T2	44.639.478
Total	Viajes	Valor absoluto	2022T1	32.099.714
Total	Viajes	Valor absoluto	2021T4	36.344.253
Total	Viajes	Valor absoluto	2021T3	57.034.795
Total	Viajes	Valor absoluto	2021T2	34.293.875
Total	Viajes	Valor absoluto	2021T1	15.220.538
Total	Viajes	Valor absoluto	2020T4	17.188.061
Total	Viajes	Valor absoluto	2020T3	46.136.493
Total	Viajes	Valor absoluto	2020T2	9.027.260
Total	Viajes	Valor absoluto	2020T1	29.172.048
Total	Viajes	Valor absoluto	2019T4	40.511.885
Total	Viajes	Valor absoluto	2019T3	61.116.470
Total	Viajes	Valor absoluto	2019T2	50.474.390
Total	Viajes	Valor absoluto	2019T1	41.771.971
Total	Viajes	Valor absoluto	2018T4	40.141.946
Total	Viajes	Valor absoluto	2018T3	64.572.164
Total	Viajes	Valor absoluto	2018T2	50.714.998
Total	Viajes	Valor absoluto	2018T1	40.650.361
Total	Viajes	Valor absoluto	2017T4	40.035.447
Total	Viajes	Valor absoluto	2017T3	63.991.444
Total	Viajes	Valor absoluto	2017T2	50.386.995
Total	Viajes	Valor absoluto	2017T1	39.275.402
Total	Viajes	Valor absoluto	2016T4	37.885.608
Total	Viajes	Valor absoluto	2016T3	60.983.296
Total	Viajes	Valor absoluto	2016T2	42.776.473
Total	Viajes	Valor absoluto	2016T1	40.305.465
Total	Viajes	Valor absoluto	2015T4	37.735.200
Total	Viajes	Valor absoluto	2015T3	58.315.777
Total	Viajes	Valor absoluto	2015T2	46.755.999
Total	Viajes	Valor absoluto	2015T1	32.663.764
Total	Viajes	Distribución porcentual	2023T4	100
Total	Viajes	Distribución porcentual	2023T3	100
Total	Viajes	Distribución porcentual	2023T2	100
Total	Viajes	Distribución porcentual	2023T1	100
Total	Viajes	Distribución porcentual	2022T4	100
Total	Viajes	Distribución porcentual	2022T3	100
Total	Viajes	Distribución porcentual	2022T2	100
Total	Viajes	Distribución porcentual	2022T1	100
Total	Viajes	Distribución porcentual	2021T4	100
Total	Viajes	Distribución porcentual	2021T3	100
Total	Viajes	Distribución porcentual	2021T2	100
Total	Viajes	Distribución porcentual	2021T1	100
Total	Viajes	Distribución porcentual	2020T4	100
Total	Viajes	Distribución porcentual	2020T3	100
Total	Viajes	Distribución porcentual	2020T2	100
Total	Viajes	Distribución porcentual	2020T1	100
Total	Viajes	Distribución porcentual	2019T4	100
Total	Viajes	Distribución porcentual	2019T3	100
Total	Viajes	Distribución porcentual	2019T2	100
Total	Viajes	Distribución porcentual	2019T1	100
