Provincias	Comunidad autónoma de procedencia	Total
Total	Total	100
Total	Andalucía	17,64
Total	Aragón	2,73
Total	Asturias, Principado de	2,32
Total	Balears, Illes	2,07
Total	Canarias	3,26
Total	Cantabria	1,28
Total	Castilla y León	4,84
Total	Castilla - La Mancha	3,6
Total	Cataluña	16,52
Total	Comunitat Valenciana	8,78
Total	Extremadura	2,04
Total	Galicia	4,98
Total	Madrid, Comunidad de	20,25
Total	Murcia, Región de	2,5
Total	Navarra, Comunidad Foral de	1,36
Total	País Vasco	4,68
Total	Rioja, La	0,74
Total	Ceuta	0,25
Total	Melilla	0,16
Albacete	Total	100
Albacete	Andalucía	8,93
Albacete	Aragón	1,08
Albacete	Asturias, Principado de	1,17
Albacete	Balears, Illes	1,13
Albacete	Canarias	0,52
Albacete	Cantabria	0,46
Albacete	Castilla y León	2,57
Albacete	Castilla - La Mancha	22,11
Albacete	Cataluña	6,69
Albacete	Comunitat Valenciana	24,44
Albacete	Extremadura	1,08
Albacete	Galicia	1,46
Albacete	Madrid, Comunidad de	17,03
Albacete	Murcia, Región de	8,82
Albacete	Navarra, Comunidad Foral de	0,55
Albacete	País Vasco	1,54
Albacete	Rioja, La	0,26
Albacete	Ceuta	0,13
Albacete	Melilla	0,03
Alicante/Alacant	Total	100
Alicante/Alacant	Andalucía	4,98
Alicante/Alacant	Aragón	1,66
Alicante/Alacant	Asturias, Principado de	1,22
Alicante/Alacant	Balears, Illes	0,85
Alicante/Alacant	Canarias	0,49
Alicante/Alacant	Cantabria	0,73
Alicante/Alacant	Castilla y León	4,21
Alicante/Alacant	Castilla - La Mancha	7,17
Alicante/Alacant	Cataluña	5,62
Alicante/Alacant	Comunitat Valenciana	36,89
Alicante/Alacant	Extremadura	0,95
Alicante/Alacant	Galicia	1,39
Alicante/Alacant	Madrid, Comunidad de	25,01
Alicante/Alacant	Murcia, Región de	4,53
Alicante/Alacant	Navarra, Comunidad Foral de	0,94
Alicante/Alacant	País Vasco	2,77
Alicante/Alacant	Rioja, La	0,49
Alicante/Alacant	Ceuta	0,07
Alicante/Alacant	Melilla	0,03
Almería	Total	100
Almería	Andalucía	52,12
Almería	Aragón	0,64
Almería	Asturias, Principado de	0,55
Almería	Balears, Illes	0,25
