Destino	Concepto turístico	Tipo de dato	Periodo	Total
Total	Viajes	Valor absoluto	2023	185.895.163
Total	Viajes	Valor absoluto	2022	171.388.138
Total	Viajes	Valor absoluto	2021	142.893.461
Total	Viajes	Valor absoluto	2020	101.523.862
Total	Viajes	Valor absoluto	2019	193.874.716
Total	Viajes	Valor absoluto	2018	196.079.470
Total	Viajes	Valor absoluto	2017	193.689.289
Total	Viajes	Valor absoluto	2016	181.950.842
Total	Viajes	Valor absoluto	2015	175.470.741
Total	Viajes	Distribución porcentual	2023	100
Total	Viajes	Distribución porcentual	2022	100
Total	Viajes	Distribución porcentual	2021	100
Total	Viajes	Distribución porcentual	2020	100
Total	Viajes	Distribución porcentual	2019	100
Total	Viajes	Distribución porcentual	2018	100
Total	Viajes	Distribución porcentual	2017	100
Total	Viajes	Distribución porcentual	2016	100
Total	Viajes	Distribución porcentual	2015	100
Total	Viajes	Variación anual	2023	8,46
Total	Viajes	Variación anual	2022	19,94
Total	Viajes	Variación anual	2021	40,75
Total	Viajes	Variación anual	2020	-47,63
Total	Viajes	Variación anual	2019	-1,12
Total	Viajes	Variación anual	2018	1,23
Total	Viajes	Variación anual	2017	6,45
Total	Viajes	Variación anual	2016	3,69
Total	Viajes	Variación anual	2015	""
Total	Duración media de los viajes	Valor absoluto	2023	4,31
Total	Duración media de los viajes	Valor absoluto	2022	4,35
Total	Duración media de los viajes	Valor absoluto	2021	4,38
Total	Duración media de los viajes	Valor absoluto	2020	4,86
Total	Duración media de los viajes	Valor absoluto	2019	4,09
Total	Duración media de los viajes	Valor absoluto	2018	4,06
Total	Duración media de los viajes	Valor absoluto	2017	4,14
Total	Duración media de los viajes	Valor absoluto	2016	4,29
Total	Duración media de los viajes	Valor absoluto	2015	4,27
Total	Duración media de los viajes	Distribución porcentual	2023	""
Total	Duración media de los viajes	Distribución porcentual	2022	""
Total	Duración media de los viajes	Distribución porcentual	2021	""
Total	Duración media de los viajes	Distribución porcentual	2020	""
Total	Duración media de los viajes	Distribución porcentual	2019	""
Total	Duración media de los viajes	Distribución porcentual	2018	""
Total	Duración media de los viajes	Distribución porcentual	2017	""
Total	Duración media de los viajes	Distribución porcentual	2016	""
Total	Duración media de los viajes	Distribución porcentual	2015	""
Total	Duración media de los viajes	Variación anual	2023	-0,85
Total	Duración media de los viajes	Variación anual	2022	-0,69
Total	Duración media de los viajes	Variación anual	2021	-9,83
Total	Duración media de los viajes	Variación anual	2020	18,68
Total	Duración media de los viajes	Variación anual	2019	0,85
Total	Duración media de los viajes	Variación anual	2018	-1,93
Total	Duración media de los viajes	Variación anual	2017	-3,46
Total	Duración media de los viajes	Variación anual	2016	0,38
Total	Duración media de los viajes	Variación anual	2015	""
Total	Pernoctaciones	Valor absoluto	2023	802.083.174
Total	Pernoctaciones	Valor absoluto	2022	745.821.861
Total	Pernoctaciones	Valor absoluto	2021	626.172.389
Total	Pernoctaciones	Valor absoluto	2020	493.409.224
Total	Pernoctaciones	Valor absoluto	2019	793.908.137
Total	Pernoctaciones	Valor absoluto	2018	796.139.237
Total	Pernoctaciones	Valor absoluto	2017	801.948.843
Total	Pernoctaciones	Valor absoluto	2016	780.324.511
Total	Pernoctaciones	Valor absoluto	2015	749.670.798
Total	Pernoctaciones	Distribución porcentual	2023	100
Total	Pernoctaciones	Distribución porcentual	2022	100
Total	Pernoctaciones	Distribución porcentual	2021	100
Total	Pernoctaciones	Distribución porcentual	2020	100
Total	Pernoctaciones	Distribución porcentual	2019	100
Total	Pernoctaciones	Distribución porcentual	2018	100
Total	Pernoctaciones	Distribución porcentual	2017	100
Total	Pernoctaciones	Distribución porcentual	2016	100
Total	Pernoctaciones	Distribución porcentual	2015	100
Total	Pernoctaciones	Variación anual	2023	7,54
Total	Pernoctaciones	Variación anual	2022	19,11
Total	Pernoctaciones	Variación anual	2021	26,91
Total	Pernoctaciones	Variación anual	2020	-37,85
Total	Pernoctaciones	Variación anual	2019	-0,28
Total	Pernoctaciones	Variación anual	2018	-0,72
Total	Pernoctaciones	Variación anual	2017	2,77
Total	Pernoctaciones	Variación anual	2016	4,09
Total	Pernoctaciones	Variación anual	2015	""
Total	Gasto total	Valor absoluto	2023	58.750.025,65
Total	Gasto total	Valor absoluto	2022	50.292.009,69
Total	Gasto total	Valor absoluto	2021	32.520.685,15
Total	Gasto total	Valor absoluto	2020	21.135.056,78
Total	Gasto total	Valor absoluto	2019	48.065.843,7
Total	Gasto total	Valor absoluto	2018	46.942.957,6
Total	Gasto total	Valor absoluto	2017	44.232.732,05
Total	Gasto total	Valor absoluto	2016	41.388.181,34
Total	Gasto total	Valor absoluto	2015	37.953.241,02
Total	Gasto total	Distribución porcentual	2023	100
Total	Gasto total	Distribución porcentual	2022	100
Total	Gasto total	Distribución porcentual	2021	100
Total	Gasto total	Distribución porcentual	2020	100
Total	Gasto total	Distribución porcentual	2019	100
Total	Gasto total	Distribución porcentual	2018	100
Total	Gasto total	Distribución porcentual	2017	100
Total	Gasto total	Distribución porcentual	2016	100
Total	Gasto total	Distribución porcentual	2015	100
Total	Gasto total	Variación anual	2023	16,82
Total	Gasto total	Variación anual	2022	54,65
Total	Gasto total	Variación anual	2021	53,87
Total	Gasto total	Variación anual	2020	-56,03
Total	Gasto total	Variación anual	2019	2,39
Total	Gasto total	Variación anual	2018	6,13
Total	Gasto total	Variación anual	2017	6,87
Total	Gasto total	Variación anual	2016	9,05
Total	Gasto total	Variación anual	2015	""
Total	Gasto medio por persona	Valor absoluto	2023	316,04
Total	Gasto medio por persona	Valor absoluto	2022	293,44
Total	Gasto medio por persona	Valor absoluto	2021	227,59
Total	Gasto medio por persona	Valor absoluto	2020	208,18
Total	Gasto medio por persona	Valor absoluto	2019	247,92
Total	Gasto medio por persona	Valor absoluto	2018	239,41
Total	Gasto medio por persona	Valor absoluto	2017	228,37
Total	Gasto medio por persona	Valor absoluto	2016	227,47
